연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
93,영등포구,가로3-5,서울특별시 영등포구 여의대방로 ,공군회관 앞 정류장(19-255),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
94,영등포구,가로3-5,서울특별시 영등포구 여의대방로 ,공군회관 앞 정류장(19-255),"① 정류장(버스, 택시 등)",② 재활용쓰레기,① 일반 사각쓰레기통,2019
95,영등포구,가로3-6,서울특별시 영등포구 여의대방로 ,병무청 앞 버스중앙차로(19-014),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
96,영등포구,가로3-7,서울특별시 영등포구 여의대방로59길,대방역 버스정류장(19-307),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
97,영등포구,가로3-8,서울특별시 영등포구 신길로 155,사러가 교차로 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
98,영등포구,가로3-9,서울특별시 영등포구 신길로 190 ,우신초교 버스정류장(19-238),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
99,영등포구,가로5-1,서울특별시 영등포구 대림로 146,대동초교 맞은편 버스정류장(19-262),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
100,영등포구,가로5-10,서울특별시 영등포구 시흥대로 659,천지당약국 앞 택시승강장,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
101,영등포구,가로5-11,서울특별시 영등포구 시흥대로 613,안국약품 앞 버스중앙차로(19-009) ,⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
102,영등포구,가로5-12,서울특별시 영등포구 대림역,6번출구 공항리무진 버스정류장(19-502),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
103,영등포구,가로5-13,서울특별시 영등포구 대림역,5번출구 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
104,영등포구,가로5-14,서울특별시 영등포구 여의대방로,한림대학교 병원 앞 횡단보도,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
105,영등포구,가로5-15,서울특별시 영등포구 시흥대로659-1,"강남성심병원, 대림성모병원버스중앙차로(19-010)",⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
106,영등포구,가로5-16,서울특별시 영등포구 여의대방로,경남아너스빌 버스중앙차로(19-011),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
107,영등포구,가로5-17,서울특별시 영등포구 여의대방로 89,보라매공원 버스중앙차로(19-012),⑦ 버스중앙차로내 휴지통,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
